nit,legal_name,email,email_rep_legal,phone,website,address,city,dept,source_url,matched
1004095143-8,SILVA SUAREZ NAKARY MARCELA,,,,,,Bucaramanga,SANTANDER,,false
1005199141-4,ARENAS ORELLANA VICTOR,,,,,,Giron,SANTANDER,,false
1005273560-3,PINZON LOMBANA JHOAN SEBASTIAN,,,,,,Barbosa,SANTANDER,,false
1005305842-4,MONSALVE ARDILA JOHAN FERNEY,,,,,,Bucaramanga,SANTANDER,,false
1005334760-2,VILLAMIZAR MARTINEZ MARIA FERNANDA,,,,,,Bucaramanga,SANTANDER,,false
1005338159-3,CACERES GUTIERREZ SERGIO AUGUSTO,,,,,,Giron,SANTANDER,,false
1005343962-1,GALVIS MAYORGA LUIS ANTONIO,,,,,,Oiba,SANTANDER,,false
1006455233-5,DAVID FELIPE YUNES MARTINEZ CARREÑO,VOLTWORKSASESORIA@GMAIL.COM,ingdavidmartinez95@gmail.com,3245107970,,CALLE 55 # 1-94,BUCARAMANGA,SANTANDER,https://www.datos.gov.co/Estad-sticas-Nacionales/SECOP-II-Proveedores-Registrados/qmzu-gj57,true
1010244595-5,CASTELLANOS RAMIREZ JULIAN ESTEBAN,,,,,,Barbosa,SANTANDER,,false
1013662230-6,JOHAN  SEBASTIAN RODRIGUEZ GUERRERO,JSRGING@GMAIL.COM,jsrging@gmail.com,3229060350,,CALLE 15A # 5-65 SAN LUIS,BUCARAMANGA,SANTANDER,https://www.datos.gov.co/Estad-sticas-Nacionales/SECOP-II-Proveedores-Registrados/qmzu-gj57,true
1015466342-1,PINZON CAICEDO LINA MARIA,,,,,,Guavata,SANTANDER,,false
1019002489-7,MORALES MARTINEZ JORGE ANTONIO,,,,,,Piedecuesta,SANTANDER,,false
1032357562-8,APARICIO CARREÑO WILSON,,,,,,Bucaramanga,SANTANDER,,false
1039695308-8,CASTELLANO SALDARRIAGA YASMIN ANDREA,,,,,,Velez,SANTANDER,,false
1051287899-2,RIAÑO URREA NELSON ANDRES,,,,,,Bucaramanga,SANTANDER,,false
1052390173-8,ESTUPIÑAN RIAÑO NESTOR LEONARDO,,,,,,Bucaramanga,SANTANDER,,false
1053609307-5,EDWIN RICARDO BENITEZ,ABIOTECHINGENIERIA@GMAIL.COM,abiotechingenieria@gmail.com,3212830957,,"SAMANES 6, 403",BUCARAMANGA,SANTANDER,https://www.datos.gov.co/Estad-sticas-Nacionales/SECOP-II-Proveedores-Registrados/qmzu-gj57,true
10540286-2,GOMEZ ORTIZ ERASMO,,,,,,Bucaramanga,SANTANDER,,false
1064715800-9,GUERRERO ECHAVEZ CARLOS FABIAN,,,,,,Floridablanca,SANTANDER,,false
10772108-5,HOYOS  JOSE DAVID,,,,,,Charala,SANTANDER,,false
1082862640-1,PARDO RODRIGUEZ KATIANA,,,,,,Floridablanca,SANTANDER,,false
1091658630-7,TRILLOS GOMEZ MELITSA MARIA,,,,,,Piedecuesta,SANTANDER,,false
1091664884-5,MONCADA FELIZZOLA LEIDY TATIANA,,,,,,Bucaramanga,SANTANDER,,false
1092348167-1,CARDENAS GARCIA MIGUEL ANDRES,,,,,,Bucaramanga,SANTANDER,,false
1094266840-5,CRISTANCHO BAUTISTA CONCHITA YURLEY,,,,,,Bucaramanga,SANTANDER,,false
1095701006-9,CARREÑO REMOLINA LUIS ARMANDO,,,,,,Barichara,SANTANDER,,false
1095701830-1,DIEGO ANDRES SILVA CASTILLO,DIEGOBARICHARA@GMAIL.COM,diegobarichara@gmail.com,3184798075,,CALLE 6 N° 2-61 BLOQUE D CASA 2,BARICHARA,SANTANDER,https://www.datos.gov.co/Estad-sticas-Nacionales/SECOP-II-Proveedores-Registrados/qmzu-gj57,true
1095786547-6,GOMEZ SANTOS JORGE ENRIQUE,,,,,,Bucaramanga,SANTANDER,,false
1095791158-4,VIVAS GRANADOS JUAN DIEGO,,,,,,Floridablanca,SANTANDER,,false
1095796161-1,GAMARRA DURAN JONATHAN,,,,,,Piedecuesta,SANTANDER,,false
1095803689-7,RUEDA VEGA DANIEL ANDRES,,,,,,Piedecuesta,SANTANDER,,false
