nit,razon_social_ccb,desc_ciiu1,tamano_empresa,ciudad_ccb,sspd_nombre,servicio,estado_prestador,email,telefono,direccion,departamento_domicilio,municipio_domicilio,representante_legal,clasificacion,tipo_prestador,sspd_dataset_id
804000551-3,GAS NATURAL DEL CESAR EMPRESA DE SERVICIOS PUBLICOS,Producción De Gas  Distribución De Combustibles Gaseosos Por Tuberías,PEQUEÑA EMPRESA,Bucaramanga,GAS NATURAL DEL CESAR S.A. EMPRESA DE SERVICIOS PUBLICOS,GAS NATURAL,OPERATIVA,reportesregulacion@grupovanti.com,6833300,Diagonal 13 No. 60A-54 Piso 3,SANTANDER,BUCARAMANGA,ALEXANDER ZAPATA SANCHEZ,SIN CLASIFICACION,SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS),4qkq-csdn
804001062-8,RUITOQUE S.A. E.S.P.,Comercialización De Energía Eléctrica,PEQUEÑA EMPRESA,Floridablanca,RUITOQUE S.A. E.S.P.,ENERGIA ELECTRICA,OPERATIVA,msereno@ruitoqueesp.com,6185871,CALLE 31A # 26-15 OFICINA 705 CENTRO EMPRESARIAL LA FLORIDA,SANTANDER,FLORIDABLANCA,JOSE GABRIEL SORZANO SERRANO,SISTEMA INTERCONECTADO NACIONAL,SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS),4qkq-csdn
804002801-9,GASES DEL SUR DE SANTANDER S.A. EMPRESA DE SERVICIOS PUBLICOS,Producción De Gas  Distribución De Combustibles Gaseosos Por Tuberías,MICROEMPRESA,Barbosa,GASES DEL SUR DE SANTANDER S.A. E.S.P.,GAS LICUADO DEL PETROLEO,OPERATIVA,jorgea.castaneda@gasursa.com,7486018,Calle 10a # 9-22  Conjunto Alcázares Barrio Centro,SANTANDER,BARBOSA,JORGE ARMANDO CASTANEDA SAENZ,SIN CLASIFICACION,SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS),4qkq-csdn
804002801-9,GASES DEL SUR DE SANTANDER S.A. EMPRESA DE SERVICIOS PUBLICOS,Producción De Gas  Distribución De Combustibles Gaseosos Por Tuberías,MICROEMPRESA,Barbosa,GASES DEL SUR DE SANTANDER S.A. E.S.P.,GAS NATURAL,OPERATIVA,jorgea.castaneda@gasursa.com,7486018,Calle 10a # 9-22  Conjunto Alcázares Barrio Centro,SANTANDER,BARBOSA,JORGE ARMANDO CASTANEDA SAENZ,SIN CLASIFICACION,SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS),4qkq-csdn
804011155-7,CIAZ SAS E.S.P.,"Comercio Al Por Mayor De Combustibles Sólidos, Líquidos, Gaseosos Y Productos Conexos",MICROEMPRESA,Floridablanca,CIAZ SAS ESP,GAS NATURAL,OPERATIVA,administracion@ciaz.com.co,6842955,Carrera No. 34 51-80 Ofic. 502,SANTANDER,BUCARAMANGA,ANGELA MILENA MOJICA ROMERO,SIN CLASIFICACION,SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS),4qkq-csdn
804011800-1,"INGENIERIA Y SERVICIOS SOCIEDAD ANONIMA, EMPRESA DE SERVICIOS PUBLICOS",Producción De Gas  Distribución De Combustibles Gaseosos Por Tuberías,MICROEMPRESA,Bucaramanga,INGENIERÍA Y SERVICIOS SOCIEDAD ANÓNIMA EMPRESA DE SERVICIOS PÚBLICOS,GAS LICUADO DEL PETROLEO,OPERATIVA,gerencia@insesp.com,6472050,Calle 51 A No 31 - 45 Barrio Antiguo Campestre,SANTANDER,BUCARAMANGA,FABIO AUGUSTO SANTOS RODRIGUEZ,SIN CLASIFICACION,SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS),4qkq-csdn
804011800-1,"INGENIERIA Y SERVICIOS SOCIEDAD ANONIMA, EMPRESA DE SERVICIOS PUBLICOS",Producción De Gas  Distribución De Combustibles Gaseosos Por Tuberías,MICROEMPRESA,Bucaramanga,INGENIERÍA Y SERVICIOS SOCIEDAD ANÓNIMA EMPRESA DE SERVICIOS PÚBLICOS,GAS NATURAL,OPERATIVA,gerencia@insesp.com,6472050,Calle 51 A No 31 - 45 Barrio Antiguo Campestre,SANTANDER,BUCARAMANGA,FABIO AUGUSTO SANTOS RODRIGUEZ,SIN CLASIFICACION,SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS),4qkq-csdn
804013578-8,PROMOTORA DE SERVICIOS PUBLICOS S.A. E.S.P. PROVISERVICIOS S.A. E.S.P.,Producción De Gas  Distribución De Combustibles Gaseosos Por Tuberías,MICROEMPRESA,Floridablanca,PROMOTORA DE SERVICIOS PÚBLICOS S.A. E.S.P.,GAS LICUADO DEL PETROLEO,OPERATIVA,coordinacionsui@proviservicios.com,6058802,CARRERA 22C No 35 - 222 INTER 2,SANTANDER,FLORIDABLANCA,SAUL DAVID MESA  PARRA,SIN CLASIFICACION,SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS),4qkq-csdn
804013578-8,PROMOTORA DE SERVICIOS PUBLICOS S.A. E.S.P. PROVISERVICIOS S.A. E.S.P.,Producción De Gas  Distribución De Combustibles Gaseosos Por Tuberías,MICROEMPRESA,Floridablanca,PROMOTORA DE SERVICIOS PÚBLICOS S.A. E.S.P.,GAS NATURAL,OPERATIVA,coordinacionsui@proviservicios.com,6058802,CARRERA 22C No 35 - 222 INTER 2,SANTANDER,FLORIDABLANCA,SAUL DAVID MESA  PARRA,SIN CLASIFICACION,SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS),4qkq-csdn
804014818-5,PROMESA S.A. E.S.P.,Producción De Gas  Distribución De Combustibles Gaseosos Por Tuberías,MICROEMPRESA,Bucaramanga,PROMESA S.A. ESP,GAS NATURAL,OPERATIVA,promesaesp@hotmail.com,6477302,CARRERA 24 NRO 51-18,SANTANDER,BUCARAMANGA,JOSE FELIPE MESA DELGADO,SIN CLASIFICACION,SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS),4qkq-csdn
804014885-9,ESPIGAS S.A. E.S.P.,Producción De Gas  Distribución De Combustibles Gaseosos Por Tuberías,MICROEMPRESA,Floridablanca,ESPIGAS S.A. E.S.P.,GAS NATURAL,OPERATIVA,espigasesp@gmail.com,6230363,Cra 33 No. 49-35 AP 601 N,SANTANDER,BUCARAMANGA,JORGE LUIS ESCALANTE HERNANDEZ,SIN CLASIFICACION,SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS),4qkq-csdn
890201230-1,"ELECTRIFICADORA DE SANTANDER S.A. EMPRESA DE SERVICIOS PUBLICOS, Y PODRA IDENTIF ICARSE PARA TODOS LOS EFECTOS COMO ELECTRIFICADORA DE SANTANDER S.A. E.S.P.",Comercialización De Energía Eléctrica,GRAN EMPRESA,Bucaramanga,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,ENERGIA ELECTRICA,OPERATIVA,yeny.ramirez@essa.com.co,6339767,Cra 19 N° 24 - 56,SANTANDER,BUCARAMANGA,MAURICIO MONTOYA BOZZI,SISTEMA INTERCONECTADO NACIONAL,SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS),4qkq-csdn
890205952-7,GAS NATURAL DEL ORIENTE SOCIEDAD ANONIMA O S.A. EMPRESA DE SERVICIOS PUBLICOS O E.S.P. GASORIENTE S.A. E.S.P.,Producción De Gas  Distribución De Combustibles Gaseosos Por Tuberías,GRAN EMPRESA,Bucaramanga,GAS NATURAL DEL ORIENTE SA ESP,GAS NATURAL,OPERATIVA,reportesregulacion@grupovanti.com,6833300,DG.13 NO. 60A-54,SANTANDER,BUCARAMANGA,FABIO RICARDO DIAZ BECERRA,SIN CLASIFICACION,SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS),4qkq-csdn
890208316-6,METROGAS DE COLOMBIA S.A. EMPRESA DE SERVICIOS PUBLICOS METROGAS S.A. E.S.P,Producción De Gas  Distribución De Combustibles Gaseosos Por Tuberías,MEDIANA EMPRESA,Floridablanca,METROGAS DE COLOMBIA S.A. E.S.P.,GAS NATURAL,OPERATIVA,metrogas@metrogassaesp.com,6384935,CALLE 31A No.26-15 PISO 5 OFICINAS 503-504-505-506 CENTRO EMPRESARIAL LA FLORIDA BARRIO CAÑAVERAL,SANTANDER,FLORIDABLANCA,CLAUDIA PATRICIA LAGUADO ESCALANTE,SIN CLASIFICACION,SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS),4qkq-csdn
900148768-9,ENERMAS S.A.S E.S.P.,Generación De Energía Eléctrica,PEQUEÑA EMPRESA,Floridablanca,ENERMAS SAS ESP,ENERGIA ELECTRICA,OPERATIVA,info@enermas.com.co,6909593,Calle 31A # 26 - 15 Ofic. 501,SANTANDER,FLORIDABLANCA,LEONARDO PORRAS DIAZ,SISTEMA INTERCONECTADO NACIONAL,SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS),4qkq-csdn
