nit,razon_social,desc_ciiu1,ciudad,email,telefono,source_datasets,join_method
804001062-8,RUITOQUE S.A. E.S.P.,Comercialización De Energía Eléctrica,Floridablanca,escribanos@ruitoqueesp.com,3134338665,bedu-5uzi;jnzr-x9ww,nit_base9_document;nit_exact
804015104-1,CRUDESAN S.A.,"Comercio Al Por Mayor De Combustibles Sólidos, Líquidos, Gaseosos Y Productos Conexos",Bucaramanga,CONTADOR@CRUDESAN.COM,3163045365,bedu-5uzi,nit_base9_document
890200951-7,TRANSPORTES PIEDECUESTA S.A.,Comercio Al Por Menor De Combustible Para Automotores,Piedecuesta,CONTABILIDAD@TRANSPIEDECUESTA.COM.CO,3208353681,bedu-5uzi,nit_base9_document
890201230-1,"ELECTRIFICADORA DE SANTANDER S.A. EMPRESA DE SERVICIOS PUBLICOS, Y PODRA IDENTIF ICARSE PARA TODOS LOS EFECTOS COMO ELECTRIFICADORA DE SANTANDER S.A. E.S.P.",Comercialización De Energía Eléctrica,Bucaramanga,impuestosmunicipio@essa.com.co,3014273704,bedu-5uzi,nit_base9_document
890205952-7,GAS NATURAL DEL ORIENTE SOCIEDAD ANONIMA O S.A. EMPRESA DE SERVICIOS PUBLICOS O E.S.P. GASORIENTE S.A. E.S.P.,Producción De Gas  Distribución De Combustibles Gaseosos Por Tuberías,Bucaramanga,NOTIFICACIONESIMPUESTOS@grupovanti.com,3183774611,bedu-5uzi,nit_base9_document
890208316-6,METROGAS DE COLOMBIA S.A. EMPRESA DE SERVICIOS PUBLICOS METROGAS S.A. E.S.P,Producción De Gas  Distribución De Combustibles Gaseosos Por Tuberías,Floridablanca,metrogas@metrogassaesp.com,3175177894,bedu-5uzi,nit_base9_document
900148768-9,ENERMAS S.A.S E.S.P.,Generación De Energía Eléctrica,Floridablanca,contabilidad@enermas.com.co,3244757870,bedu-5uzi,nit_base9_document
900256369-6,E.D.S REAL DE MINAS S.A.,Comercio Al Por Menor De Combustible Para Automotores,Bucaramanga,EDSREALDEMINAS@GMAIL.COM,3188217632,bedu-5uzi,nit_base9_document
900269407-4,INVERSIONES BASAN LTDA,Comercio Al Por Menor De Combustible Para Automotores,Floridablanca,contabilidad@jsservipetrol.com,3107584116,bedu-5uzi,nit_base9_document
900349430-8,LUBRIXEL S.A.S.,"Comercio Al Por Mayor De Combustibles Sólidos, Líquidos, Gaseosos Y Productos Conexos",Giron,contador@lubrixel.com,3164540002,bedu-5uzi,nit_base9_document
