nit,name,oc_url,lei,officers_summary,email_if_any,notes
890201230-1,ELECTRIFICADORA DE SANTANDER S.A. E.S.P. (ESSA legacy name in SECOP),,,,,OC search: no_results (jurisdiction=co)
890503062-0,CENTRALES ELECTRICAS DE NORTE DE SANTANDER S.A. E.S.P. (CENS),,,,,OC search: no_results (jurisdiction=co)
800249860-1,CELSIA COLOMBIA S.A. E.S.P.,,254900Q4C9S832017264,,,OC search: no_results (jurisdiction=co) | GLEIF match: CELSIA COLOMBIA S.A. E.S.P.
860063875-8,ENEL COLOMBIA S.A. E.S.P.,,2549007VY3IWUVGW7A82,,,OC search: no_results (jurisdiction=co) | GLEIF match: ENEL COLOMBIA S.A. E.S.P
890904902-8,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,,549300SU25TO8EMXB434,,,OC search: no_results (jurisdiction=co) | GLEIF match: Empresas Públicas de Medellin E.S.P.
890102040-1,ECOPETROL S.A.,,254900IDGKCJICKBPA66,,,OC search: no_results (jurisdiction=co) | GLEIF match: Ecopetrol S.A.
890903937-0,ISAGEN S.A. E.S.P.,,254900UN2NX4GAXDKJ55,,,OC search: no_results (jurisdiction=co) | GLEIF match: ISAGEN S.A. E.S.P. | GLEIF NIT alt 5493005VD794JCHUFK43
890200162-2,ACUEDUCTO METROPOLITANO DE BUCARAMANGA S.A. E.S.P.,,,,,OC search: no_results (jurisdiction=co)
890201608-1,ESSA S.A. E.S.P.,,,,,OC search: no_results (jurisdiction=co)
900253669-0,CABRERANA DE SERVICIOS PUBLICOS S.A. E.S.P.,,,,,OC search: no_results (jurisdiction=co)
901254325-0,GIRON S.A.S. E.S.P.,,,,,OC search: no_results (jurisdiction=co)
804005441-0,PIEDECUESTANA DE SERVICIOS PUBLICOS E.S.P.,,,,,OC search: no_results (jurisdiction=co)
900364103-0,EMPRESA DE SERVICIOS PUBLICOS DE BARICHARA E.P.B. S.A. E.S.P.,,,,,OC search: no_results (jurisdiction=co)
830050125-1,XM S.A. E.S.P.,,,,,OC search: no_results (jurisdiction=co)
860035827-4,GRUPO DE ENERGIA DE BOGOTA S.A. E.S.P.,,529900LG618OWYVHI655,,,OC search: no_results (jurisdiction=co) | GLEIF: Grupo Energía Bogotá SA ESP (registeredAs 899999082-3; NIT mismatch vs sample — verify RUES)
890500514-3,CHEC S.A. E.S.P.,,,,,OC search: no_results (jurisdiction=co)
890201235-0,DEPARTAMENTO DE SANTANDER (energy buyer),,,,,OC search: no_results (jurisdiction=co)
890201222-0,MUNICIPIO DE BUCARAMANGA (energy buyer),,,,,OC search: no_results (jurisdiction=co)
901469368-0,LA CURITEÑA S.A.S E.S.P.,,,,,OC search: no_results (jurisdiction=co)
