Firm,Website,Confidence
30N Ventures,https://www.30n.vc,high
645 Ventures,https://www.645ventures.com,high
ALIVE Ventures,https://www.alive-ventures.com,high
Accial Capital,https://www.accialcapital.com,high
Addition,https://addition.com,high
Agrega Partners / INICIA FIS,https://agregapartners.com,high
Altman Capital,https://www.altcap.com,high
Arrebol Capital,https://arrebolcap.com,high
Avenue Growth Partners,https://www.avenuegp.com,high
BBVA Spark,https://www.bbvaspark.com,high
BTG Pactual,https://www.btgpactual.com,high
Base10 Partners,https://base10.vc,high
Bertha Capital,https://berthacapital.com,high
Bicycle Capital,https://bicycle.capital,high
Bloomberg Beta,https://www.bloombergbeta.com,high
COMETA,https://www.cometa.vc,high
Capria Ventures,https://capria.vc,high
Clear Haven Capital Management,https://www.clearhavencm.com,high
Construct Capital,https://www.constructcap.com,high
Credit Saison,https://www.saison-international.com,high
Crosslink Capital,https://www.crosslinkcapital.com,high
Fasanara Capital,https://www.fasanara.com,high
General Catalyst,https://www.generalcatalyst.com,high
IDC Ventures,https://again.capital,high
Inter-American Development Bank Group,https://www.iadb.org,high
Invoitix AG,https://invoitix.com,high
Kaszek,https://www.kaszek.com,high
KfW DEG,https://www.deginvest.de,high
L4 Venture Builder,https://l4vb.com,high
LGVP,,low
Lachy Groom (fund),https://lachygroom.com,med
Lighthouse Ventures,https://lhv.vc,high
Mercado Libre,https://www.mercadolibre.com,high
NXTP,https://www.nxtp.vc,high
Nazca,https://nazca.vc,high
Pelion Venture Partners,https://pelionvp.com,high
Primary Venture Partners,https://www.primary.vc,high
Proeza Ventures,https://www.proezaventures.com,high
Progresión SCB,https://www.progresion.com.co,high
QED Investors,https://www.qedinvestors.com,high
Quona Capital,https://quona.com,high
Skandia,https://www.skandia.co,high
Spark Capital,https://www.sparkcapital.com,high
Sumitomo Mitsui Banking Corporation (SMBC),https://www.smbc.co.jp,high
Tiger Global Management,https://www.tigerglobal.com,high
Trinity Capital,https://trinitycapital.com,high
Upper90,https://upper90.io,high
Wischoff Ventures,https://www.wischoff.com,high
XP Investimentos,https://www.xpi.com.br,high
